"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","id_produksi","tanggal_produksi","id_produk","jumlah_diproduksi","biaya_produksi","keterangan"
"","1","2024-01-01","104","352","2310.1","Produksi reguler"
"","2","2024-01-06","104","644","1514.1","Produksi tambahan"
"","3","2024-01-11","101","255","4018.9","Produksi tambahan"
"","4","2024-01-16","103","584","1174.7","Produksi reguler"
"","5","2024-01-21","101","482","1098.4","Produksi tambahan"
"","6","2024-01-26","104","500","1417.6","Produksi tambahan"
"","7","2024-01-31","103","608","1563.6","Produksi tambahan"
"","8","2024-02-05","105","100","3242.2","Produksi reguler"
"","9","2024-02-10","105","523","1798.1","Produksi awal"
"","10","2024-02-15","104","541","3129.5","Produksi awal"
"","11","2024-02-20","103","834","1846.0","Produksi awal"
"","12","2024-02-25","104","879","2488.0","Produksi reguler"
"","13","2024-03-01","101","530","4147.3","Produksi reguler"
"","14","2024-03-06","104","153","3039.4","Produksi reguler"
"","15","2024-03-11","105","644","2671.9","Produksi tambahan"
"","16","2024-03-16","105","859","3808.6","Produksi awal"
"","17","2024-03-21","102","319","1518.4","Produksi awal"
"","18","2024-03-26","103","149","2506.6","Produksi reguler"
"","19","2024-03-31","103","213","3992.2","Produksi awal"
"","20","2024-04-05","104","264","3495.3","Produksi tambahan"
